Date,Description,DisplayName,Amount,Type,Method,Balance,Reference,BankAccount
02/07/2025,CHEQUE DEPOSIT - CQM QDP,Cheque Deposit,8000.00,Credit,Cheque,8000.00,,ERL-OCBC-C
04/07/2025,TRANSFER DEBIT - HMIT250704072840,Mobile Transfer Out,8000.00,Debit,Mobile Transfer,0.00,HMIT250704072840,ERL-OCBC-C
16/07/2025,FPS CREDIT - TACK TACK LIMITED,TACK TACK LIMITED,1300.00,Credit,FPS,1300.50,FRN20250716PAYC010,ERL-OCBC-S
16/07/2025,TRANSFER DEBIT - HMIT250716074637,Mobile Transfer Out,1300.00,Debit,Mobile Transfer,0.50,HMIT250716074637,ERL-OCBC-S
22/07/2025,FPS CREDIT - MR CHAN JEFFERO,MR CHAN JEFFERO,768.60,Credit,FPS,769.10,FRN20250722PAYC010,ERL-OCBC-S
24/07/2025,VISA DEBIT - GOOGLE GSUITE,GOOGLE GSUITE,282.00,Debit,VISA,487.10,,ERL-OCBC-S
24/07/2025,VISA DEBIT - GOOGLE CLOUD TV4ZK,GOOGLE CLOUD TV4ZK,59.57,Debit,VISA,427.53,,ERL-OCBC-S
24/07/2025,VISA DEBIT - MISC DEBIT,MISC DEBIT,0.60,Debit,VISA,426.93,,ERL-OCBC-S
24/07/2025,VISA DEBIT - MISC DEBIT,MISC DEBIT,2.82,Debit,VISA,424.11,,ERL-OCBC-S
01/08/2025,FPS CREDIT - TACK TACK LIMITED,TACK TACK LIMITED,2600.00,Credit,FPS,3024.11,FRN20250731PAYC010,ERL-OCBC-S
01/08/2025,TRANSFER DEBIT - HMIT250801077294,Mobile Transfer Out,2600.00,Debit,Mobile Transfer,424.11,HMIT250801077294,ERL-OCBC-S
04/08/2025,VISA DEBIT - GOOGLE CLOUD R8KJW,GOOGLE CLOUD R8KJW,33.68,Debit,VISA,390.43,,ERL-OCBC-S
04/08/2025,VISA DEBIT - GOOGLE GSUITE THEE,GOOGLE GSUITE THEE,282.00,Debit,VISA,108.43,,ERL-OCBC-S
04/08/2025,VISA DEBIT - MISC DEBIT,MISC DEBIT,0.34,Debit,VISA,108.09,,ERL-OCBC-S
04/08/2025,VISA DEBIT - MISC DEBIT,MISC DEBIT,2.82,Debit,VISA,105.27,,ERL-OCBC-S
06/08/2025,CHEQUE DEPOSIT - CQM QDP,Cheque Deposit,28000.00,Credit,Cheque,28105.27,,ERL-OCBC-S
07/08/2025,TRANSFER DEBIT - HMIT250807078500,Mobile Transfer Out,28000.00,Debit,Mobile Transfer,105.27,HMIT250807078500,ERL-OCBC-S
26/08/2025,CHEQUE DEPOSIT,Cheque Deposit,12000.00,Credit,Cheque,12105.27,,ERL-OCBC-S
31/08/2025,INTEREST PAYMENT,Interest Payment,0.61,Credit,Interest,12105.88,,ERL-OCBC-S
01/09/2025,TRANSFER CREDIT - INTERNETBANK,Transfer In,6000.00,Credit,Internet Transfer,18105.88,,ERL-OCBC-S
01/09/2025,TRANSFER DEBIT - HMIT250830082392,Mobile Transfer Out,6000.00,Debit,Mobile Transfer,12105.88,HMIT250830082392,ERL-OCBC-S
01/09/2025,TRANSFER DEBIT - HMIT250831082399,Mobile Transfer Out,6000.00,Debit,Mobile Transfer,6105.88,HMIT250831082399,ERL-OCBC-S
01/09/2025,TRANSFER DEBIT - HMIT250901082734,Mobile Transfer Out,4000.00,Debit,Mobile Transfer,2105.88,HMIT250901082734,ERL-OCBC-S
03/09/2025,VISA DEBIT - GOOGLE CLOUD 2FZ24,GOOGLE CLOUD 2FZ24,14.84,Debit,VISA,2091.04,,ERL-OCBC-S
03/09/2025,VISA DEBIT - GOOGLE GSUITE THEE,GOOGLE GSUITE THEE,307.46,Debit,VISA,1783.58,,ERL-OCBC-S
03/09/2025,VISA DEBIT - MISC DEBIT,MISC DEBIT,0.15,Debit,VISA,1783.43,,ERL-OCBC-S
03/09/2025,VISA DEBIT - MISC DEBIT,MISC DEBIT,3.07,Debit,VISA,1780.36,,ERL-OCBC-S
26/09/2025,CHEQUE DEPOSIT,Cheque Deposit,7000.00,Credit,Cheque,8780.36,,ERL-OCBC-S
30/09/2025,INTEREST PAYMENT,Interest Payment,0.08,Credit,Interest,8780.44,,ERL-OCBC-S
03/10/2025,VISA DEBIT - GOOGLE CLOUD XX7DV,GOOGLE CLOUD XX7DV,13.54,Debit,VISA,8353.30,,ERL-OCBC-S
03/10/2025,VISA DEBIT - GOOGLE GSUITE,GOOGLE GSUITE,413.60,Debit,VISA,8366.84,,ERL-OCBC-S
03/10/2025,VISA DEBIT - MISC DEBIT,MISC DEBIT,0.14,Debit,VISA,8353.16,,ERL-OCBC-S
03/10/2025,VISA DEBIT - MISC DEBIT,MISC DEBIT,4.14,Debit,VISA,8349.02,,ERL-OCBC-S
04/10/2025,TRANSFER DEBIT - HMIT251003088498,Mobile Transfer Out,6000.00,Debit,Mobile Transfer,2349.02,HMIT251003088498,ERL-OCBC-S
06/10/2025,FPS CREDIT - CHAN WAI MAN ADRIA,CHAN WAI MAN ADRIA,4000.00,Credit,FPS,6349.02,FRN20251005PAYC010,ERL-OCBC-S
11/10/2025,VISA DEBIT - KPAY SUSANNAS REST,KPAY SUSANNAS REST,821.00,Debit,VISA,5528.02,,ERL-OCBC-S
11/10/2025,TRANSFER DEBIT - HMIT251010089705,Mobile Transfer Out,5400.00,Debit,Mobile Transfer,128.02,HMIT251010089705,ERL-OCBC-S
21/10/2025,TRANSFER DEBIT - HMIT251021091856,Mobile Transfer Out,100.00,Debit,Mobile Transfer,28.02,HMIT251021091856,ERL-OCBC-S
04/11/2025,VISA DEBIT - GOOGLE CLOUD HVWW7,GOOGLE CLOUD HVWW7,10.83,Debit,VISA,17.19,,ERL-OCBC-S
04/11/2025,VISA DEBIT - MISC DEBIT,MISC DEBIT,0.11,Debit,VISA,17.08,,ERL-OCBC-S
24/11/2025,CASH DEPOSIT - ATM 9301,Cash Deposit (ATM 9301),2000.00,Credit,Cash,2017.08,,ERL-OCBC-S
24/11/2025,TRANSFER DEBIT - HMIT251124097995,Mobile Transfer Out,1000.00,Debit,Mobile Transfer,1017.08,HMIT251124097995,ERL-OCBC-S
24/11/2025,TRANSFER DEBIT - HMIT251124097997,Mobile Transfer Out,500.00,Debit,Mobile Transfer,517.08,HMIT251124097997,ERL-OCBC-S
27/11/2025,CHEQUE DEPOSIT,Cheque Deposit,2000.00,Credit,Cheque,2517.08,,ERL-OCBC-S
